gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNMB1	myCAF	10	6	0.6683333333333332	0.6295595107651635	0.02690985636030463	1.0379542914368844	23.0	0.6953125	0.8776895491803278	0.76484375
KCNMB1	PVL	10	6	0.015454545454545453	0.00325014224014898	0.01322209438587446	5.261979162855717	10.0	0.083984375	0.451171875	0.184765625
KCNMB1	DCs	10	6	0.012916666666666667	0.0029645754624647623	0.0058021434375224844	1.6852247768965363	5.0	0.078125	0.451171875	0.184765625
KCNMB1	iCAF	10	6	0.009999999999999998	0.011073321297114531	0.003988314493888813	1.6799597075006947	17.0	0.322265625	0.6892903645833334	0.5908203125
KCNMB1	B cells	10	4	0.0029166666666666664	0.0025659750852385283	0.0	1.0	6.0	0.4375	0.7751677852348994	0.6875
KCNMB1	CD4+ cells	10	3	0.0	0.0007799294211534755	0.0	1.0	10.0	1.0	1.0	1.0
KCNMB1	FCN1-TAM	10	3	0.0	0.000361093287024282	0.0	1.0	7.0	0.5625	0.8329326923076923	0.76484375
KCNMB1	C1Q-TAM	10	2	0.0011111111111111111	0.0017299118943748977	-0.00010921177587845058	0.989415846778275	11.0	0.6875	0.8776895491803278	0.76484375
KCNMB1	SPP1-TAM	10	1	0.000641025641025641	0.004064669377615059	-0.001443130853106517	0.44154912118802625	10.0	0.083984375	0.451171875	0.184765625
KCNMB1	Tumor Epithelial cells	10	2	0.1298717948717949	0.14442174074621436	-0.025964060743877054	0.6800340635302392	10.0	0.083984375	0.451171875	0.184765625
KCNMB1	Normal Epithelial cells	10	0	0.01974747474747475	0.0755394908440758	-0.06049675580134074	0.26521355353067827	0.0	0.001953125	0.056396484375	0.021484375
KCNMB4	myCAF	9	8	0.7300000000000001	0.6681795998047849	0.039785130252892764	1.0443544584116613	9.0	0.12890625	0.49328125	0.3544921875
KCNMB4	B cells	9	3	0.0	0.00044667783361250696	0.0	1.0	5.0	0.625	0.8542899408284024	0.6875
