"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"HMOX1","iCAF",11.029228835607,11.0338737071278,10.6951041174263,10.6708456858744,0.00464487152082427,1,-0.111111111111111,0.00938990331331479,0.831104951727802,0.935386354976855,0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"NR4A3","iCAF",8.03698490297167,8.19253319820867,8.08501165533762,8.17514812899313,0.155548295236997,0.382733088885226,0.555555555555556,0.0890040851481938,0.216192005017489,,-0.371428571428571,0.497222222222222,6,,,,,0.597692768944052,0.708541666666667
"OAS2","ifCAF",8.48431210891829,8.47876192012,8.48787028059143,8.37157212980528,-0.00555018879829383,1,-0.111111111111111,-0.00411803931353867,0.9487594707614,0.98006696180036,0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"BCAT1","myCAF",14.18139344794,13.9293115410914,14.2813590864631,13.8778505253163,-0.252081906848598,0.190430263825524,-0.777777777777778,-0.182039249532902,0.0655427370400751,0.245745800961341,0.371428571428571,0.497222222222222,6,,,,,0.409604718417165,0.708541666666667
"COL12A1","myCAF",14.2049816605817,14.2594200777646,14.269267137449,14.2502404245432,0.0544384171829666,1,0.111111111111111,0.030884948198762,0.683406225303832,0.861710745630933,-0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"SUGCT","myCAF",8.63877325622517,8.62697531637186,8.65426967713301,8.59109580360006,-0.0117979398533077,1,-0.111111111111111,-0.00595681793441751,0.94068456426424,0.977628966474922,-0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"CIITA","apCAF",8.29741280823984,8.20979332070848,8.23945773796155,8.24750733701742,-0.0876194875313594,1,-0.111111111111111,-0.0432352756590005,0.551979361150394,0.782858694034607,-0.314285714285714,0.563888888888889,6,,,,,1,0.765277777777778
"CLU","apCAF",11.0058958346265,11.0342202507063,11.0509457006949,11.0650949148931,0.0283244160798635,0.382733088885226,0.555555555555556,0.0190194113166193,0.816353926345273,0.928839395516353,-0.314285714285714,0.563888888888889,6,,,,,0.597692768944052,0.765277777777778
"HLA-DQB1","apCAF",7.63159447574261,7.49998739808906,7.63993311199209,7.49776732262735,-0.131607077653548,0.190430263825524,-0.777777777777778,-0.0426955116555097,0.262790068213135,,0.314285714285714,0.563888888888889,6,,,,,0.409604718417165,0.765277777777778
"GPX3","csCAF",11.0329046310588,11.0325448109883,11.0676751967723,11.0299789046102,-0.000359820070467975,1,-0.111111111111111,0.00357111355497613,0.977135928939918,0.991099156760986,0.314285714285714,0.563888888888889,6,,,,,1,0.765277777777778
"SDC4","apCAF",13.6622496907573,13.8350971632188,13.6241688587475,13.6583568900604,0.172847472461511,0.382733088885226,0.555555555555556,0.119069513498392,0.272372653278792,0.560779407864143,-0.257142857142857,0.658333333333333,6,,,,,0.597692768944052,0.824725274725275
"HLA-DPB1","apCAF",7.74957714304141,7.68193619750228,7.87321632901611,7.72299891812312,-0.067640945539126,0.662520583540057,-0.333333333333333,-0.0129931564639875,0.699487422170319,,0.257142857142857,0.658333333333333,6,,,,,0.829970840918314,0.824725274725275
"NFIA","csCAF",9.85019635697884,9.8876899849103,9.85544589914827,9.87586679857082,0.0374936279314646,0.662520583540057,0.333333333333333,0.0307867712690327,0.739246100635585,0.890731990693429,-0.257142857142857,0.658333333333333,6,,,,,0.829970840918314,0.824725274725275
"CCDC102B","csCAF",7.82003231037831,7.82657164921989,7.7641695046642,7.82471622078708,0.00653933884157443,1,-0.111111111111111,0.00218085883809503,0.970012206860163,,-0.257142857142857,0.658333333333333,6,,,,,1,0.824725274725275
"HSPB8","iCAF",10.9221361179965,10.992355269597,10.8224851465926,10.8046552285841,0.0702191516004422,1,0.111111111111111,0.0462873178971987,0.61229231231888,0.819969006921799,0.257142857142857,0.658333333333333,6,,,,,1,0.824725274725275
"LRRC15","myCAF",8.18822094457762,8.24692425650279,8.21615655409804,8.0882504824972,0.058703311925175,1,0.111111111111111,0.0308759108083406,0.620240994898696,0.824524190876219,0.257142857142857,0.658333333333333,6,,,,,1,0.824725274725275
