orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T8	KCNK1	3779	14218	855.0	0.013357962171869261	3.0999937274761935	0.0009676237046178827	0.008561091370415094	bernoulli	30	
IU_PDA_T11	KCNK1	2777	14686	466.0	0.012765952485265136	2.490899916149686	0.006371000360434637	0.03593107192524696	bernoulli	30	
IU_PDA_T2	KCNK1	4118	14706	569.0	0.009536936673146191	2.2986677706770644	0.01076190599708629	0.07504247965535846	bernoulli	30	
IU_PDA_T1	KCNK1	3530	13524	172.0	0.006131878076732021	1.1091018504438193	0.1336931233624753	0.37132430289787327	bernoulli	30	
IU_PDA_T9	KCNK1	3526	14113	297.0	0.0027962137386443753	0.609867654926893	0.2709747401833851	0.4833860249618464	bernoulli	30	
IU_PDA_T9	KCNK15	3526	14113	12.0	0.03061817208950769	2.0755556613564465	0.018967532911331117	0.10483216344194156	bernoulli	30	
IU_PDA_T2	KCNK15	4118	14706	6.0	0.03883658705012099	1.8210009807995877	0.034303353887837756	0.17236034469503256	bernoulli	30	
IU_PDA_T4	KCNK15	3621	14334	12.0	0.022739377908590472	1.6810781221237465	0.04637387064353481	0.11772796096681888	bernoulli	30	
IU_PDA_T8	KCNK15	3779	14218	11.0	0.028085897143733014	1.4791999583114042	0.06954344035432322	0.20952756571684195	bernoulli	30	
IU_PDA_T1	KCNK15	3530	13524	7.0	0.028603308421993302	1.3765096208241088	0.08433195539855803	0.31866833979830406	bernoulli	30	
IU_PDA_T11	KCNK15	2777	14686	26.0	0.011327073057260077	1.2015599963830372	0.11476702416554196	0.25704981714389386	bernoulli	30	
IU_PDA_T12	KCNK15	3642	15208	36.0	0.006863431114472959	0.9557443788016268	0.16960069773056752	0.2479338742244128	bernoulli	30	
IU_PDA_T10	KCNK15	2714	13635	23.0	0.010386237277028976	0.8229338793872909	0.20527279761237222	0.4206966173823381	bernoulli	30	
IU_PDA_T6	KCNK15	3397	15000	52.0	0.004251846977811567	0.6064348288225332	0.27211302325539194	0.3522954728837286	bernoulli	30	
IU_PDA_T3	KCNK15	4354	14668	59.0	-0.00176722938889887	-0.32110881213848436	0.6259360337335726	0.680898082379416	bernoulli	30	
IU_PDA_T12	KCNK17	3642	15208	383.0	0.07047000608202812	16.059788295437855	2.4410736185600235e-58	6.641117637041295e-57	bernoulli	30	
IU_PDA_T8	KCNK17	3779	14218	31.0	0.022603448279093996	2.4575880615423515	0.006993675668802792	0.04310189885523975	bernoulli	30	
IU_PDA_T1	KCNK17	3530	13524	21.0	0.023923101182811116	2.144541206499271	0.015994773708986294	0.12921942630844124	bernoulli	30	
IU_PDA_T9	KCNK17	3526	14113	28.0	0.013367969085663747	1.6816162846872005	0.0463216353725167	0.19070514586123927	bernoulli	30	
IU_PDA_T2	KCNK17	4118	14706	156.0	0.007591798114743801	1.6411153502127112	0.05038673645284581	0.21952694819989424	bernoulli	30	
IU_PDA_T11	KCNK17	2777	14686	7.0	0.0393651633728024	1.5488964270505665	0.06070330999732025	0.1820056625318082	bernoulli	30	
IU_PDA_T6	KCNK17	3397	15000	24.0	0.012216540066876535	1.2769896976121873	0.10080294225297826	0.1781030170265461	bernoulli	30	
IU_PDA_T10	KCNK17	2714	13635	23.0	0.016250814042646795	1.2710524923254434	0.10185498741074067	0.3128405231104585	bernoulli	30	
IU_PDA_T3	KCNK17	4354	14668	67.0	0.005061036724307429	0.9537560051775759	0.1701035818661914	0.26945113347364025	bernoulli	30	
IU_PDA_T4	KCNK17	3621	14334	17.0	0.009597199618648538	0.8905985532294147	0.186572287826205	0.28791609905650045	bernoulli	30	
IU_PDA_T3	KCNK3	4354	14668	505.0	0.39665834847758763	104.53618515893486	0.0	0.0	bernoulli	30	
IU_PDA_T12	KCNK3	3642	15208	249.0	0.0741385670662263	16.106569351235574	1.1470153658617805e-58	3.1373758424507124e-57	bernoulli	30	
IU_PDA_T4	KCNK3	3621	14334	40.0	0.058610770638332046	8.317060482962354	4.5085871643778083e-17	9.588440417535832e-16	bernoulli	30	
IU_PDA_T6	KCNK3	3397	15000	73.0	0.04286231912625828	6.574695318249721	2.4376447267050577e-11	3.125185547057766e-10	bernoulli	30	
IU_PDA_T9	KCNK3	3526	14113	17.0	0.02915922033164549	2.6996722439872705	0.0034703908387380884	0.027891586507466197	bernoulli	30	
IU_PDA_T11	KCNK3	2777	14686	40.0	0.020694896396949523	2.565605358261267	0.005149796831838173	0.03012962431935946	bernoulli	30	
IU_PDA_T10	KCNK3	2714	13635	12.0	0.04468720570469935	2.2952229897939005	0.010860174161993844	0.09478803323837227	bernoulli	30	
IU_PDA_T8	KCNK3	3779	14218	14.0	0.02164730292489156	1.7648915316830394	0.038790998598568716	0.14668362182831116	bernoulli	30	
IU_PDA_T2	KCNK3	4118	14706	137.0	0.00661983966706957	1.3959883123559818	0.0813590073636769	0.28320942509322755	bernoulli	30	
IU_PDA_T1	KCNK3	3530	13524	8.0	0.024025336915038158	1.2920011044376298	0.0981783810572947	0.3356330701261005	bernoulli	30	
IU_PDA_T12	KCNK6	3642	15208	1137.0	0.02628202895770282	5.870342607128972	2.1744773895557063e-09	1.4593756460884017e-08	bernoulli	30	
IU_PDA_T9	KCNK6	3526	14113	341.0	0.01215088654376802	2.7292859039638366	0.003173582428712862	0.02593799101337204	bernoulli	30	
IU_PDA_T4	KCNK6	3621	14334	519.0	0.011449406342860758	2.5524801760448854	0.0053479498047296	0.021557230737062453	bernoulli	30	
IU_PDA_T11	KCNK6	2777	14686	282.0	0.006672397271891688	1.210459475032644	0.11305131599721135	0.2549165709711417	bernoulli	30	
IU_PDA_T8	KCNK6	3779	14218	279.0	0.00469108851951412	0.9954411689942239	0.15976087199570915	0.3195448664735115	bernoulli	30	
IU_PDA_T3	KCNK6	4354	14668	350.0	0.003744261371872037	0.9109664465168591	0.18115652657053072	0.28086971728127225	bernoulli	30	
IU_PDA_T1	KCNK6	3530	13524	193.0	0.0010344550409327666	0.21854949514244207	0.41350049932907895	0.58735224797043	bernoulli	30	
IU_PDA_T6	KCNK6	3397	15000	470.0	0.0009500049093939032	0.20295798036445015	0.4195839377176116	0.48606548723213994	bernoulli	30	
IU_PDA_T2	KCNK6	4118	14706	360.0	0.0003537902744646401	0.08366378621758845	0.46666187528634484	0.63720794224336	bernoulli	30	
IU_PDA_T10	KCNK6	2714	13635	222.0	-0.0013036499840907427	-0.2280263462566732	0.5901871206713953	0.7001828408904964	bernoulli	30	
IU_PDA_T12	KCNMA1	3642	15208	1558.0	0.058682023890704364	13.527541862684226	5.3780253628405895e-42	1.1037653133344087e-40	bernoulli	30	
IU_PDA_T11	KCNMA1	2777	14686	1165.0	0.045163245697879516	9.416441834799999	2.3331666937426065e-21	8.853975727210316e-20	bernoulli	30	
IU_PDA_T6	KCNMA1	3397	15000	347.0	0.03921955803945936	8.145969346478863	1.8812772450728069e-16	3.339545405454687e-15	bernoulli	30	
IU_PDA_T1	KCNMA1	3530	13524	417.0	0.03177327515155393	7.200408654157265	3.001618199876396e-13	1.4654831962140208e-11	bernoulli	30	
IU_PDA_T4	KCNMA1	3621	14334	177.0	0.035694952152145264	7.125081135692223	5.200969748910148e-13	8.618578078714226e-12	bernoulli	30	
IU_PDA_T9	KCNMA1	3526	14113	968.0	0.030059202730481432	6.8868938306531495	2.8511873236233895e-12	7.843821968478928e-11	bernoulli	30	
IU_PDA_T3	KCNMA1	4354	14668	688.0	0.025347817382486787	6.450649712286872	5.568582498376575e-11	3.631834952698426e-10	bernoulli	30	
IU_PDA_T10	KCNMA1	2714	13635	174.0	0.013495926236334116	2.493106219538617	0.006331547892740351	0.06473529460014911	bernoulli	30	
IU_PDA_T2	KCNMA1	4118	14706	428.0	0.00638967393555812	1.5304666079321407	0.06295063637556454	0.24979818093336542	bernoulli	30	
IU_PDA_T8	KCNMA1	3779	14218	252.0	0.0034986641152713826	0.7609746497927813	0.223336104415078	0.37596409336651426	bernoulli	30	
IU_PDA_T11	KCNMB1	2777	14686	511.0	0.07982595861251114	16.225214051015254	1.672746440690844e-59	1.564710460381257e-57	bernoulli	30	
IU_PDA_T6	KCNMB1	3397	15000	166.0	0.06582820767388427	12.788818975162926	9.466458839637203e-38	3.977503714133278e-36	bernoulli	30	
IU_PDA_T4	KCNMB1	3621	14334	147.0	0.05113005946474619	10.39094898836735	1.3631344438135769e-25	4.229257384767058e-24	bernoulli	30	
IU_PDA_T9	KCNMB1	3526	14113	323.0	0.039639425021069194	8.761041013898156	9.672769737476115e-19	3.7503241567307806e-17	bernoulli	30	
IU_PDA_T12	KCNMB1	3642	15208	798.0	0.016166134422836542	3.6756582464057015	0.00011861846575899957	0.00047635321554340257	bernoulli	30	
IU_PDA_T3	KCNMB1	4354	14668	295.0	0.01329177632255405	3.2431698460874854	0.0005910386056783717	0.0021180929069363197	bernoulli	30	
IU_PDA_T1	KCNMB1	3530	13524	118.0	0.01570098864638984	3.0224359494366473	0.0012537457066194011	0.01851054250690042	bernoulli	30	
IU_PDA_T10	KCNMB1	2714	13635	46.0	0.015145951789495035	1.8829580040609721	0.02985302973843523	0.18050823081311057	bernoulli	30	
IU_PDA_T8	KCNMB1	3779	14218	108.0	0.004295508899324818	0.878672064279756	0.18978955486012722	0.3460854034886865	bernoulli	30	
IU_PDA_T2	KCNMB1	4118	14706	77.0	0.0009034062373493533	0.16901493567258016	0.43289244672096006	0.614171021041437	bernoulli	30	
IU_PDA_T11	KCNMB4	2777	14686	191.0	0.026228035985919787	4.855010731996493	6.019011191043243e-07	8.649236629321045e-06	bernoulli	30	
IU_PDA_T3	KCNMB4	4354	14668	430.0	0.019421208613495458	4.80666047256963	7.673615134235694e-07	3.846773301058413e-06	bernoulli	30	
IU_PDA_T12	KCNMB4	3642	15208	599.0	0.015658973360306108	3.5560836791950705	0.0001882121131573569	0.0007313055229680848	bernoulli	30	
