target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNA7	IU_PDA_T9	3526	14113	2020	423				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T9	3526	14113	2020	423	-0.0008020874909535435	-0.10718890522556584	0.6906937100035462	
KCNAB2	IU_PDA_T9	3526	14113	2020	423	0.004409331786959118	0.9959465559223419	0.3680725195728424	
KCNB1	IU_PDA_T9	3526	14113	2020	423	0.012293750917869968	0.929804691811264	0.3876986213754279	
KCNC4	IU_PDA_T9	3526	14113	2020	423	0.005297418772924235	1.0288238749865823	0.3593016347665506	
KCND2	IU_PDA_T9	3526	14113	2020	423	0.0007510756434438121	0.13374462073722213	0.6245871843281927	
KCND3	IU_PDA_T9	3526	14113	2020	423	0.02502181475398538	5.617286584935541	2.0866107002773465e-07	
KCNE4	IU_PDA_T9	3526	14113	2020	423	0.008980553390341183	2.004002720209694	0.11827252702700544	
KCNJ15	IU_PDA_T9	3526	14113	2020	423	0.03626425075126283	7.954395767080824	3.0461039965510925e-14	
KCNJ16	IU_PDA_T9	3526	14113	2020	423	0.042350531819137754	1.8137459223556387	0.1591063915810148	
KCNJ8	IU_PDA_T9	3526	14113	2020	423	-0.0007295511801218939	-0.16335884426127895	0.7061901263125874	
KCNK1	IU_PDA_T9	3526	14113	2020	423	0.0027962137386443753	0.609867654926893	0.4833860249618464	
KCNK15	IU_PDA_T9	3526	14113	2020	423	0.03061817208950769	2.0755556613564465	0.10483216344194156	
KCNK17	IU_PDA_T9	3526	14113	2020	423	0.013367969085663747	1.6816162846872005	0.19070514586123927	
KCNK3	IU_PDA_T9	3526	14113	2020	423	0.02915922033164549	2.6996722439872705	0.027891586507466197	
KCNK6	IU_PDA_T9	3526	14113	2020	423	0.01215088654376802	2.7292859039638366	0.02593799101337204	
KCNMA1	IU_PDA_T9	3526	14113	2020	423	0.030059202730481432	6.8868938306531495	7.843821968478928e-11	
KCNMB1	IU_PDA_T9	3526	14113	2020	423	0.039639425021069194	8.761041013898156	3.7503241567307806e-17	
