CellType2	gene	row_label	pathway_label	delta_high_minus_low	padj_BH	direction	dot_size
csCAF	KCNMB1	csCAF | KCNMB1	ANGIOGENESIS	0.00865722366815031	0.027268531302402	KCN-high	1.56433825276022
csCAF	KCNMB1	csCAF | KCNMB1	TNFA SIGNALING VIA NFKB	-0.00737635501437951	0.027268531302402	KCN-low	1.56433825276022
csCAF	KCNMB1	csCAF | KCNMB1	INFLAMMATORY RESPONSE	-0.00267899098574037	0.03420907399486	KCN-low	1.46585868156956
csCAF	KCNMB1	csCAF | KCNMB1	E2F TARGETS	-0.00129457920727593	0.0402398645058649	KCN-low	1.39534349028946
csCAF	KCNS3	csCAF | KCNS3	OXIDATIVE PHOSPHORYLATION	0.0112240892841468	0.0246963490342398	KCN-high	1.60736724558568
csCAF	KCNS3	csCAF | KCNS3	INTERFERON ALPHA RESPONSE	0.00591932609843921	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	UNFOLDED PROTEIN RESPONSE	0.00549795528796103	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	APOPTOSIS	0.00511076888338717	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	PI3K AKT MTOR SIGNALING	0.00413398483852782	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	CHOLESTEROL HOMEOSTASIS	0.00306167897273709	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	MYOGENESIS	0.00291537260764808	0.0379725846531129	KCN-high	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	G2M CHECKPOINT	-0.00209523700663503	0.0379725846531129	KCN-low	1.4205298410382
csCAF	KCNS3	csCAF | KCNS3	NOTCH SIGNALING	0.0038785561924532	0.043855368882716	KCN-high	1.35797723163872
csCAF	KCNS3	csCAF | KCNS3	ESTROGEN RESPONSE EARLY	-0.00273327219589414	0.0448728494422693	KCN-low	1.34801635173364
csCAF	KCNS3	csCAF | KCNS3	GLYCOLYSIS	0.00300622737940722	0.0462972371299607	KCN-high	1.33444492550504
myCAF	KCNE4	myCAF | KCNE4	NOTCH SIGNALING	0.00533030263753327	0.00383169235011225	KCN-high	2.4166093680727
myCAF	KCNE4	myCAF | KCNE4	COMPLEMENT	0.00458989849026193	0.00383169235011225	KCN-high	2.4166093680727
