gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNAB2	Normal Pancreas	CC4	0	3	0
KCNAB2	Normal Pancreas	CC5	0	0	0
KCNAB2	Normal Pancreas	CC6	0	0	0
KCNAB2	Normal Pancreas	CC7	1	21	4.76190476190476
KCNAB2	Normal Pancreas	CC8	0	0	0
KCNAB2	Normal Pancreas	CC9	0	0	0
KCNAB2	Normal Pancreas	CC10	263	9707	2.7093849799114
KCNAB2	Pancreas	CC1	1135	8639	13.1380946868851
KCNAB2	Pancreas	CC2	499	5063	9.85581670946079
KCNAB2	Pancreas	CC3	331	3317	9.9788965933072
KCNAB2	Pancreas	CC4	674	7976	8.45035105315948
KCNAB2	Pancreas	CC5	881	7164	12.2975991066443
KCNAB2	Pancreas	CC6	0	0	0
KCNAB2	Pancreas	CC7	326	2572	12.6749611197512
KCNAB2	Pancreas	CC8	0	0	0
KCNAB2	Pancreas	CC9	111	726	15.2892561983471
KCNAB2	Pancreas	CC10	0	1	0
KCNB1	Normal Pancreas	CC1	0	0	0
KCNB1	Normal Pancreas	CC2	1	53	1.88679245283019
KCNB1	Normal Pancreas	CC3	1	36	2.77777777777778
KCNB1	Normal Pancreas	CC4	0	3	0
KCNB1	Normal Pancreas	CC5	0	0	0
KCNB1	Normal Pancreas	CC6	0	0	0
KCNB1	Normal Pancreas	CC7	0	21	0
KCNB1	Normal Pancreas	CC8	0	0	0
KCNB1	Normal Pancreas	CC9	0	0	0
KCNB1	Normal Pancreas	CC10	44	9707	0.453281137323581
KCNB1	Pancreas	CC1	27	8639	0.312536173168191
KCNB1	Pancreas	CC2	12	5063	0.237013628283626
KCNB1	Pancreas	CC3	6	3317	0.180886343081097
KCNB1	Pancreas	CC4	27	7976	0.33851554663992
KCNB1	Pancreas	CC5	41	7164	0.572305974316025
KCNB1	Pancreas	CC6	0	0	0
KCNB1	Pancreas	CC7	24	2572	0.933125972006221
KCNB1	Pancreas	CC8	0	0	0
KCNB1	Pancreas	CC9	2	726	0.275482093663912
KCNB1	Pancreas	CC10	0	1	0
KCNC4	Normal Pancreas	CC1	0	0	0
KCNC4	Normal Pancreas	CC2	2	53	3.77358490566038
KCNC4	Normal Pancreas	CC3	7	36	19.4444444444444
KCNC4	Normal Pancreas	CC4	0	3	0
KCNC4	Normal Pancreas	CC5	0	0	0
KCNC4	Normal Pancreas	CC6	0	0	0
KCNC4	Normal Pancreas	CC7	1	21	4.76190476190476
KCNC4	Normal Pancreas	CC8	0	0	0
KCNC4	Normal Pancreas	CC9	0	0	0
KCNC4	Normal Pancreas	CC10	1297	9707	13.3614917070156
KCNC4	Pancreas	CC1	395	8639	4.57228845931242
KCNC4	Pancreas	CC2	506	5063	9.99407465929291
KCNC4	Pancreas	CC3	434	3317	13.0841121495327
KCNC4	Pancreas	CC4	546	7976	6.84553660982949
KCNC4	Pancreas	CC5	483	7164	6.74204355108878
KCNC4	Pancreas	CC6	0	0	0
KCNC4	Pancreas	CC7	112	2572	4.35458786936236
KCNC4	Pancreas	CC8	0	0	0
KCNC4	Pancreas	CC9	28	726	3.85674931129477
KCNC4	Pancreas	CC10	0	1	0
KCND2	Normal Pancreas	CC1	0	0	0
KCND2	Normal Pancreas	CC2	0	53	0
KCND2	Normal Pancreas	CC3	1	36	2.77777777777778
KCND2	Normal Pancreas	CC4	0	3	0
KCND2	Normal Pancreas	CC5	0	0	0
KCND2	Normal Pancreas	CC6	0	0	0
KCND2	Normal Pancreas	CC7	0	21	0
KCND2	Normal Pancreas	CC8	0	0	0
KCND2	Normal Pancreas	CC9	0	0	0
KCND2	Normal Pancreas	CC10	70	9707	0.721129082105697
KCND2	Pancreas	CC1	493	8639	5.70667901377474
KCND2	Pancreas	CC2	159	5063	3.14043057475805
KCND2	Pancreas	CC3	104	3317	3.13536328007235
KCND2	Pancreas	CC4	211	7976	2.64543630892678
KCND2	Pancreas	CC5	328	7164	4.5784477945282
