target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	ETV3	10	0.0193806791523848	0.0226994751452915
SIGMAR1	RFC1	10	0.0193758364480054	0.0238292493572122
SIGMAR1	MBOAT7	10	0.019323535509507	0.0133803025468192
SIGMAR1	PXDC1	10	0.0193155443677749	0.0134710919667719
SIGMAR1	ELF3	10	0.0193126748715148	0.00946939509278491
SIGMAR1	CMTR2	10	0.0193103412562772	0.012439476156923
SIGMAR1	PTK6	10	0.0192982842247636	0.00895595376139577
SIGMAR1	PYGO2	10	0.019291857591824	0.00143380454366023
SIGMAR1	CIAO1	10	0.0192887483234878	0.00146471077063996
SIGMAR1	TMCO1	10	0.0192718515473071	0.0172889782426379
SIGMAR1	UBL3	10	0.019228297819959	0.0290357406890614
SIGMAR1	DLD	10	0.0192142540886802	0.0172666031625966
SIGMAR1	NUDC	10	0.0192012189997399	0.0131793472978566
SIGMAR1	UBE4B	10	0.0191474641617069	0.0133416692112026
SIGMAR1	ATP5F1E	10	0.019088896292166	0.0484026010298124
SIGMAR1	OAS2	10	0.0190769811019189	-0.0159148510788871
SIGMAR1	REPS2	10	0.0190682380825832	0.0113085205231937
SIGMAR1	GSTZ1	10	0.0190653025407048	0.012041049092332
SIGMAR1	BCAS4	10	0.019058196602185	-0.00479946666264216
SIGMAR1	MALSU1	10	0.0190346649515545	0.0190010218740839
SIGMAR1	COTL1	10	0.0190010487500801	0.027401692445823
SIGMAR1	DOCK8	10	0.0189878997799894	0.00888917375875643
SIGMAR1	COQ10B	10	0.0189534012145634	0.00954226562353758
SIGMAR1	KDM5B	10	0.0189529663876201	0.0224552093921694
SIGMAR1	JMJD8	10	0.0189498597506094	0.00163919523323149
SIGMAR1	TONSL	10	0.0189166235608692	0.0140562168194343
SIGMAR1	FPR1	10	0.0189161038926681	0.0171715547071996
SIGMAR1	LMCD1	10	0.0189072940962082	0.00683808632942146
SIGMAR1	STMN2	10	0.0188308846052557	0.00690287689291047
SIGMAR1	CALML5	10	0.0188226001096204	-0.000626526526568194
SIGMAR1	RBM15B	10	0.0188133640088185	0.00991447149848593
SIGMAR1	UGT1A4	10	0.018795801343581	0.0175680431585758
SIGMAR1	HECTD3	10	0.0187843433179603	0.00801183162255765
SIGMAR1	ZNF527	10	0.0187723910889937	0.0123513258452797
SIGMAR1	CCDC32	10	0.018761469710686	0.0175621680027273
SIGMAR1	SLC48A1	10	0.0187410594136428	0.00364200205568997
SIGMAR1	ANXA2	10	0.0187292958990981	0.038333415858862
SIGMAR1	PCSK7	10	0.0187284223116777	0.00397696616947499
SIGMAR1	ZCCHC3	10	0.0187174535074743	0.0239780270448444
