orig.ident	gene	positive_spots	combinedPval	adjustedPval	best_kernel	best_kernel_stat	best_kernel_pval	available_in_section	n_spots	n_genes_tested
IU_PDA_T2	KCNK15	6	0.6693386735259362	1	cos1	6.218359326463006	0.04444707628029532	TRUE	4118	17893
IU_PDA_T3	KCNK15	59	0.27737220249312733	1	gaus2	4.210595666716413	0.11845471517854123	TRUE	4354	17893
IU_PDA_T4	KCNK15	12	0.054482499999553013	0.7577749225267137	projection	10.213468179581575	0.005957501508943586	TRUE	3621	17893
IU_PDA_T6	KCNK15	52	5.195514873812535e-4	0.00791300718973307	projection	19.73203654713429	4.75042992964525e-5	TRUE	3397	17893
IU_PDA_T8	KCNK15	11	0.05228190143631428	0.7176818254719013	projection	10.033497683237316	0.006533579812379564	TRUE	3779	17893
IU_PDA_T9	KCNK15	12	0.10095194700640642	1	cos4	7.645832091338671	0.021588480083963413	TRUE	3526	17893
IU_PDA_T1	KCNK17	21	0.030458410317261375	0.40714209196634454	gaus3	9.045665219860789	0.01058518135779174	TRUE	3530	17893
IU_PDA_T10	KCNK17	23	0.07867736805587422	1	gaus5	7.045775092813111	0.028680064239287595	TRUE	2714	17893
IU_PDA_T11	KCNK17	7	0.38967194339152533	1	projection	4.892298075995051	0.08610648382433073	TRUE	2777	17893
IU_PDA_T12	KCNK17	383	2.234367964884272e-16	3.7566730706846064e-15	gaus5	68.83479121150513	4.1720566506572245e-17	TRUE	3642	17893
IU_PDA_T2	KCNK17	156	8.145845280710384e-4	0.015236180188204383	projection	17.264904923805567	1.3477109797399578e-4	TRUE	4118	17893
IU_PDA_T3	KCNK17	67	0.4785229861915642	1	projection	5.303299259551955	0.06772462377258492	TRUE	4354	17893
IU_PDA_T4	KCNK17	17	0.17902905939011526	1	projection	6.4895424310322065	0.038396415444293175	TRUE	3621	17893
IU_PDA_T6	KCNK17	24	0.5012680370215075	1	projection	2.7647294875425135	0.24854070142626716	TRUE	3397	17893
IU_PDA_T8	KCNK17	31	6.68759521591511e-5	0.0010969722267249178	projection	26.989207320682496	6.098692806100203e-6	TRUE	3779	17893
IU_PDA_T9	KCNK17	28	0.035670979653240176	0.5900600573156779	projection	11.3457222714472	0.0032875900260194157	TRUE	3526	17893
IU_PDA_T1	KCNK3	8	0.3339958074437964	1	cos1	5.472380428745527	0.0644280822791139	TRUE	3530	17893
IU_PDA_T10	KCNK3	12	0.3665524372678697	1	cos2	5.17257872732032	0.07445254255802713	TRUE	2714	17893
IU_PDA_T11	KCNK3	40	7.05407703489147e-4	0.01246821782081667	projection	19.2493185042136	6.411607685075094e-5	TRUE	2777	17893
IU_PDA_T12	KCNK3	249	8.493206138382448e-13	1.3257169259138404e-11	gaus5	54.90816687810708	1.9737356583340638e-13	TRUE	3642	17893
IU_PDA_T2	KCNK3	137	0.00133112959982995	0.0241681653159409	gaus2	15.062471125512584	4.2203244918359584e-4	TRUE	4118	17893
IU_PDA_T3	KCNK3	505	2.4204704993424526e-161	3.3374669059984416e-158	gaus5	692.3088912794504	2.2004277273152199e-162	TRUE	4354	17893
IU_PDA_T4	KCNK3	40	6.691625009380697e-5	0.0011407382731812882	projection	21.985084866158225	2.039684145482834e-5	TRUE	3621	17893
IU_PDA_T6	KCNK3	73	5.695444116327053e-14	1.1193603637123943e-12	projection	64.41388024753915	5.167105784638225e-15	TRUE	3397	17893
IU_PDA_T8	KCNK3	14	0.07228411582327476	0.9769681694905848	projection	9.494759090930954	0.0085355415851458	TRUE	3779	17893
IU_PDA_T9	KCNK3	17	8.996094263775678e-4	0.022602053409686886	projection	18.840746850070815	8.303307507762092e-5	TRUE	3526	17893
IU_PDA_T1	KCNK6	193	1.259486712590352e-6	2.7167249927502585e-5	projection	29.35545830689438	1.8982248581757717e-7	TRUE	3530	17893
IU_PDA_T10	KCNK6	222	8.315624265964328e-4	0.017032850143511143	gaus5	14.849795678050246	3.369701478981302e-4	TRUE	2714	17893
IU_PDA_T11	KCNK6	282	2.8066882151733807e-11	9.412485214247541e-10	projection	48.322272519914804	2.5515294643770225e-12	TRUE	2777	17893
IU_PDA_T12	KCNK6	1137	1.3769813195542022e-40	3.8812480391365404e-39	gaus4	140.3950270492291	2.5648255412603747e-41	TRUE	3642	17893
IU_PDA_T2	KCNK6	360	4.1587885224458887e-7	1.1554275995650426e-5	projection	31.40406058611621	3.8320085266245344e-8	TRUE	4118	17893
IU_PDA_T3	KCNK6	350	1.1341660992814084e-4	0.0021805559215719596	projection	24.073332365969886	1.0367037771241705e-5	TRUE	4354	17893
IU_PDA_T4	KCNK6	519	9.105579854092736e-36	5.485635510002039e-34	projection	146.70403989388583	8.277799867357034e-37	TRUE	3621	17893
IU_PDA_T6	KCNK6	470	5.662137425588298e-15	1.1382422807934296e-13	projection	61.78234042790852	4.928140441786361e-16	TRUE	3397	17893
IU_PDA_T8	KCNK6	279	5.540012892879531e-14	1.306476328746048e-12	projection	61.272817076786374	5.010465465638642e-15	TRUE	3779	17893
IU_PDA_T9	KCNK6	341	9.469036112985663e-7	4.646494156269077e-5	gaus2	29.286955206516723	1.0189266880923885e-7	TRUE	3526	17893
IU_PDA_T1	KCNMA1	417	2.2273960453844666e-11	7.804491498527732e-10	gaus2	47.05250878885963	3.776879218209593e-12	TRUE	3530	17893
IU_PDA_T10	KCNMA1	174	7.611517596940454e-4	0.01570516383028525	gaus5	16.261796196483182	1.7970551083279496e-4	TRUE	2714	17893
IU_PDA_T11	KCNMA1	1165	3.258259986909683e-40	8.185982351252206e-38	projection	127.95157346337696	2.962054533554257e-41	TRUE	2777	17893
IU_PDA_T12	KCNMA1	1558	1.5416793571214038e-27	3.2706393751191626e-26	gaus5	87.80647263799436	1.7645316545161129e-28	TRUE	3642	17893
IU_PDA_T2	KCNMA1	428	1.0193818092973927e-5	2.5009220053818154e-4	gaus4	26.07653566665472	2.5476151663816893e-6	TRUE	4118	17893
IU_PDA_T3	KCNMA1	688	2.734125933652187e-4	0.005035263955244855	gaus5	16.966808089360836	5.527666018578792e-5	TRUE	4354	17893
IU_PDA_T4	KCNMA1	177	1.1585288284265971e-11	2.606331871736521e-10	projection	52.68731694491339	1.0531519837414193e-12	TRUE	3621	17893
IU_PDA_T6	KCNMA1	347	7.773781618425346e-13	1.4870800621424746e-11	projection	55.02654264073416	7.946250522787004e-14	TRUE	3397	17893
IU_PDA_T8	KCNMA1	252	2.2382294358446277e-17	6.134076104743255e-16	projection	76.45647149555691	2.0347540325860593e-18	TRUE	3779	17893
IU_PDA_T9	KCNMA1	968	1.2235970333107637e-4	0.0038201249847243635	gaus2	17.130882505333165	2.1864307551577866e-5	TRUE	3526	17893
