target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNMB1	para_ct	Monocytes	Monocytes	14.0880096334631	10
KCNMB1	para_ct	B_cells	B cells	13.8686871436494	9
KCNMB4	intra	Fibroblasts	Fibroblasts	12.0547381056519	10
KCNMB4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	8.82040938259043	10
KCNMB4	intra	TAM	TAM	7.66792188468408	10
KCNMB4	intra	B_cells	B cells	6.81590648845994	9
KCNMB4	intra	Monocytes	Monocytes	3.18499231190316	10
KCNMB4	juxta_ct	Fibroblasts	Fibroblasts	16.3369049287023	10
KCNMB4	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	14.1880355782247	10
KCNMB4	juxta_ct	TAM	TAM	13.1362024552108	10
KCNMB4	juxta_ct	B_cells	B cells	10.3748838980201	9
KCNMB4	juxta_ct	Monocytes	Monocytes	6.89966343271587	10
KCNMB4	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	14.7034839055625	3
KCNMB4	para_ct	T_NK_cells	T-NK cells	11.8610984386287	7
KCNMB4	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	11.449094105459	10
KCNMB4	para_ct	B_cells	B cells	11.0299815847158	9
KCNMB4	para_ct	Fibroblasts	Fibroblasts	10.9764215814064	10
KCNN3	intra	Fibroblasts	Fibroblasts	5.94370601971325	10
KCNN3	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	4.27094334728144	10
KCNN3	intra	TAM	TAM	3.80438188579915	10
KCNN3	intra	B_cells	B cells	3.38276797949324	9
KCNN3	intra	Endothelial_cells	Endothelial cells	1.52871354911968	10
KCNN3	juxta_ct	Fibroblasts	Fibroblasts	7.07642232818018	10
KCNN3	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	6.0621590076994	10
KCNN3	juxta_ct	TAM	TAM	5.66267487279651	10
KCNN3	juxta_ct	B_cells	B cells	4.71816682054373	9
KCNN3	juxta_ct	Monocytes	Monocytes	2.68638735865496	10
KCNN3	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	7.27283015298123	3
KCNN3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	4.82997149403572	10
KCNN3	para_ct	Fibroblasts	Fibroblasts	4.72642679365385	10
KCNN3	para_ct	PVL	PVL	4.68895856551721	10
KCNN3	para_ct	Monocytes	Monocytes	4.68175753984988	10
KCNN4	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	19.9155398382841	10
