target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNN3	TSPAN3	3	0	3	-0.125870405016752	-0.152466122753347	0.18144920772142	0.736465429921235
KCNN3	MKNK1	3	1	2	-0.122561528261742	-0.106323022749751	0.422678074170635	0.87032633633487
KCNN3	PTGES3	3	0	3	-0.121593998444803	-0.0794804442348075	0.18144920772142	0.736465429921235
KCNN3	C4orf3	3	0	3	-0.121253336173207	-0.137037154264302	0.18144920772142	0.736465429921235
KCNN3	TMEM134	3	0	3	-0.12065025698052	-0.0947678455528484	0.18144920772142	0.736465429921235
KCNN3	MCM7	3	0	3	-0.120164863299599	-0.0958941137403324	0.18144920772142	0.736465429921235
KCNQ4	ELL2	3	0	3	-0.203908776540555	-0.183753916774899	0.18144920772142	0.691236932399768
KCNQ4	CISD3	3	0	3	-0.172474170603868	-0.135178063682498	0.18144920772142	0.691236932399768
KCNQ4	PHB2	3	1	2	-0.171223354496872	-0.182569373787407	0.422678074170635	0.831713810321788
KCNQ4	HIST1H1E	3	0	3	-0.148576265521674	-0.173997967495685	0.18144920772142	0.691236932399768
KCNQ4	ATP5F1A	3	0	3	-0.146744996641242	-0.0959790272273555	0.18144920772142	0.691236932399768
KCNQ4	PNN	3	0	3	-0.146296305631395	-0.0986160343805015	0.18144920772142	0.691236932399768
KCNQ4	MTA1	3	0	3	-0.140373576912843	-0.0901920495196223	0.18144920772142	0.691236932399768
KCNQ4	CEBPD	3	1	2	-0.132328606874602	-0.170310065688725	0.422678074170635	0.831713810321788
KCNQ4	CMTM8	3	0	3	-0.130083121245396	-0.150256034316209	0.18144920772142	0.691236932399768
KCNQ4	IFRD1	3	0	3	-0.126629214080209	-0.150756602776932	0.18144920772142	0.691236932399768
KCNQ4	SLC25A25	3	1	2	-0.122642441410594	-0.0725278049371303	0.422678074170635	0.831713810321788
