gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNB1	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNB1	Pancreas	CC7	2572	24	0.933125972006221	0.0101088646967341	1.08333333333333	1	1.08333333333333
KCNB1	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNB1	Pancreas	CC9	726	2	0.275482093663912	0.00275482093663912	1	1	1
KCNB1	Pancreas	CC10	1	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC2	53	2	3.77358490566038	0.0377358490566038	1	1	1
KCNC4	Normal Pancreas	CC3	36	7	19.4444444444444	0.277777777777778	1.42857142857143	1	1.42857142857143
KCNC4	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC7	21	1	4.76190476190476	0.0476190476190476	1	1	1
KCNC4	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCNC4	Normal Pancreas	CC10	9707	1297	13.3614917070156	0.149067683115278	1.11565150346955	1	1.11565150346955
KCNC4	Pancreas	CC1	8639	395	4.57228845931242	0.0486167380483852	1.06329113924051	1	1.06329113924051
KCNC4	Pancreas	CC2	5063	506	9.99407465929291	0.113174007505432	1.13241106719368	1	1.13241106719368
KCNC4	Pancreas	CC3	3317	434	13.0841121495327	0.16038589086524	1.2258064516129	1	1.2258064516129
KCNC4	Pancreas	CC4	7976	546	6.84553660982949	0.0743480441323972	1.08608058608059	1	1.08608058608059
KCNC4	Pancreas	CC5	7164	483	6.74204355108878	0.0739810161920715	1.09730848861284	1	1.09730848861284
KCNC4	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNC4	Pancreas	CC7	2572	112	4.35458786936236	0.0474339035769829	1.08928571428571	1	1.08928571428571
KCNC4	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNC4	Pancreas	CC9	726	28	3.85674931129477	0.0385674931129477	1	1	1
KCNC4	Pancreas	CC10	1	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC2	53	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC3	36	1	2.77777777777778	0.0277777777777778	1	1	1
KCND2	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCND2	Normal Pancreas	CC10	9707	70	0.721129082105697	0.00721129082105697	1	1	1
KCND2	Pancreas	CC1	8639	493	5.70667901377474	0.0630860053246904	1.10547667342799	1	1.10547667342799
KCND2	Pancreas	CC2	5063	159	3.14043057475805	0.0321943511751926	1.0251572327044	1	1.0251572327044
KCND2	Pancreas	CC3	3317	104	3.13536328007235	0.0325595417545975	1.03846153846154	1	1.03846153846154
KCND2	Pancreas	CC4	7976	211	2.64543630892678	0.0280842527582748	1.06161137440758	1	1.06161137440758
KCND2	Pancreas	CC5	7164	328	4.5784477945282	0.0503908431044109	1.10060975609756	1	1.10060975609756
KCND2	Pancreas	CC6	0	0	0	0	NA	NA	0
KCND2	Pancreas	CC7	2572	92	3.57698289269051	0.0381026438569207	1.06521739130435	1	1.06521739130435
KCND2	Pancreas	CC8	0	0	0	0	NA	NA	0
KCND2	Pancreas	CC9	726	6	0.826446280991736	0.00964187327823691	1.16666666666667	1	1.16666666666667
KCND2	Pancreas	CC10	1	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC1	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC2	53	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC3	36	3	8.33333333333333	0.0833333333333333	1	1	1
KCND3	Normal Pancreas	CC4	3	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC5	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC6	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC7	21	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC8	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC9	0	0	0	0	NA	NA	0
KCND3	Normal Pancreas	CC10	9707	407	4.19285052024312	0.0436798186875451	1.04176904176904	1	1.04176904176904
KCND3	Pancreas	CC1	8639	558	6.45908091214261	0.0718833198286839	1.11290322580645	1	1.11290322580645
KCND3	Pancreas	CC2	5063	185	3.65396010270591	0.0400948054513134	1.0972972972973	1	1.0972972972973
KCND3	Pancreas	CC3	3317	116	3.49713596623455	0.0373831775700935	1.06896551724138	1	1.06896551724138
KCND3	Pancreas	CC4	7976	182	2.28184553660983	0.024197592778335	1.06043956043956	1	1.06043956043956
KCND3	Pancreas	CC5	7164	317	4.4249022892239	0.047180346175321	1.06624605678233	1	1.06624605678233
KCND3	Pancreas	CC6	0	0	0	0	NA	NA	0
